uname,mid,roomid,follower,guardNum,coefficent,gid
冰糖IO,198297,876396,1453972.0,96,205.63393369099697,
池年,2341174,918717,176019.0,96,71.76721392165712,
CSGO久菜合子,437744340,21470918,,95,,75.0
物述有栖Official,434565011,21449083,393380.0,94,120.75248726056623,
小司无常,8760033,14846654,61323.0,94,2.915910196676691,
团小哈,686241472,22520319,69078.0,93,9.465666165768994,
宴宁ccccc,14897804,7953876,1350105.0,93,197.93493145564207,
MKiiiiii,210628,5229,79405.0,92,17.298873552337,
古堡龙姬,686201061,22587430,293845.0,92,100.25720795251709,
小希Channel,5563350,4138602,561424.0,92,141.30388928949594,
奇奇怪怪的BDD,35538270,22902770,,91,,75.0
李豆沙_Channel,1703797642,22966160,63609.0,91,2.236349770791776,
括号笑叔,1749046,898463,150768.0,90,55.949742162310486,
勾檀Mayumi,690608693,22778610,138523.0,90,50.57939097798737,
ZMI紫米,14829832,10552040,508502.0,89,132.0268287098205,
妙妙子Official,674539396,22495291,389086.0,89,115.05662997617094,
花丸晴琉Official,441381282,21547895,464792.0,89,126.32849028713576,
诺莺Nox,529249,282208,118962.0,89,39.92786553944359,
乙女音Official,406805563,21320551,319551.0,89,102.57421522766742,
兮子cc,194326389,6203304,268401.0,89,91.51505178481568,
痒局长,322892,5441,,88,,75.0
星宮汐Official,402417817,22047448,474230.0,86,124.60298513465898,
林莉奈RinaHayashi,1243266187,22742508,81713.0,86,13.115395730544265,
胡桃Usa,12497617,4788550,277329.0,86,90.58965170123452,
丝茉茉i,27564630,452138,79279.0,85,10.198190412526287,
布丁喵Official,1422451239,22715167,108550.0,85,30.120855514428058,
花雨春绘,1657906522,23696756,157709.0,84,52.80333376438148,
绒米Romi,1738710719,23307008,74262.0,84,5.0534854292960745,
火羽ひのめ,2094031249,22748536,92543.0,84,19.006178334138326,
仙仙す,1279110836,22621440,,83,,75.0
老撕鸡,46622315,3782816,,81,,75.0
田野柴Tanoshiba,690608706,22605469,82264.0,81,8.541474162032273,
诗小雅Official,36576761,6129586,75461.0,81,3.068936963721171,
二老师原创,238329119,6103516,,80,,75.0
是姬拉Kira,180485916,5998426,414881.0,80,110.12636050406365,
